treatment,day,replicate,Mucous,Eye_Clarity,Odor
1,0,1,10,10,9
1,0,2,10,9,8.5
1,0,3,10,8.5,9
1,0,4,10,8.5,8.5
1,0,5,9.5,9,8.5
1,1,1,10,7.5,9
1,1,2,9.5,8,8.5
1,1,3,9.5,7.5,8.5
1,1,4,10,7,8.5
1,1,5,9.5,7,8
1,2,1,10,7.5,8.5
1,2,2,9.5,7.5,8
1,2,3,9.5,7.5,8.5
1,2,4,9,7,8.5
1,2,5,9,7,8
1,3,1,10,7,8
1,3,2,9,6.5,7.5
1,3,3,8,7,8
1,3,4,8,6.5,8
1,3,5,9,6.5,7
1,4,1,8.5,6.5,4
1,4,2,7.5,6,4
1,4,3,8.5,6.5,3.5
1,4,4,8,6,3.5
1,4,5,7.5,6,3
1,5,1,7,5.5,2
1,5,2,7.5,6,2.5
1,5,3,7.5,6.5,1.5
1,5,4,7.5,5.5,1.5
1,5,5,7,5,1
2,0,1,10,10,9
2,0,2,10,9,8.5
2,0,3,10,8.5,9
2,0,4,10,8.5,8.5
2,0,5,9.5,9,8.5
2,1,1,10,7.5,9
2,1,2,10,8,8.5
2,1,3,9.5,7.5,8.5
2,1,4,10,8,8.5
2,1,5,9.5,7,8.5
2,2,1,10,7.5,8.5
2,2,2,9.5,8,8
2,2,3,9,7.5,8.5
2,2,4,9.5,7.5,8.5
2,2,5,9.5,7,8.5
2,3,1,9,7.5,8
2,3,2,9,7.5,7.5
2,3,3,8,7.5,8
2,3,4,8.5,7,8
2,3,5,8,7,7.5
2,4,1,8.5,7,7.5
2,4,2,8.5,7,7
2,4,3,8,6.5,7.5
2,4,4,8.5,6.5,7
2,4,5,8,6,6.5
2,5,1,7,6,4
2,5,2,8.5,6.5,3.5
2,5,3,8,6,3.5
2,5,4,8.5,6.5,3
2,5,5,7,5,2
