Number,location,sample,Photo_name,Common_name,Type,Family,Genus,Species,Count
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Sole,Fish,Cynoglossidae,Cynoglossus,sp,9
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Sawtoothed barracuda,Fish,Sphyraenidae,Sphyraena,putnamae,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Saddle grunt,Fish,Haemulidae,Pomadasys,maculatus,11
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Mackerel,Fish,Scombridae,Rastrelliger,sp,3
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Ponyfish,Fish,Leiognathidae ,Equulites ,sp,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Painted sweetlipds,Fish,Haemulidae,Diagramma,pictum ,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Unknown,Fish,Unknown,Unknown,sp1,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Unknown,Fish,Unknown,Unknown,sp2,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Unknown,Fish,Unknown,Unknown,sp3,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Conger eel,Fish,Congridae,Conger,sp,1
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Small yellow croacker,Fish,Sciaenidae,Larimichthys,polyactis,2
1,Ba Ria - Vung Tau,TF1,TF_1.jpg,Goldband snapper,Fish,Lutjanidae,Pristipomoides,multidens,5
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Saddle grunt,Fish,Haemulidae,Pomadasys,maculatus,11
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Sole,Fish,Cynoglossidae,Cynoglossus,sp,2
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Goldband snapper,Fish,Lutjanidae,Pristipomoides,multidens,12
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Ponyfish,Fish,Leiognathidae ,Equulites ,sp,4
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Scad,Fish,Carangidae,Alepes,sp,2
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Small yellow croacker,Fish,Sciaenidae,Larimichthys,polyactis,4
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Doublespot grubfish,Fish,Pinguipedidae,Parapercis,diplospilus,13
2,Ba Ria - Vung Tau,TF2,TF_2.jpg,Sand borer,Fish,Sillaginidae,Sillago,sihama,1
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Saddle grunt,Fish,Haemulidae,Pomadasys,maculatus,9
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Sole,Fish,Cynoglossidae,Cynoglossus,sp,2
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Glassfish,Fish,Ambassidae,Ambassis,sp,22
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Yellow scad,Fish,Carangidae,Trachurus,novaezelandiae,2
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Doublespot grubfish,Fish,Pinguipedidae,Parapercis,diplospilus,3
3,Ba Ria - Vung Tau,TF3,TF_3.jpg,Silver croaker,Fish,Sciaenidae,Pennahia,argentata,1
